Id,Lang,Title,Sentence_Text,Letters,Words,Num_Sentences,gulpease,flesch,gunning_fog
13,it,Operazioni di conservazione anni 2000,Operazioni di conservazione anni 2000.,29,5,1,91.0,199.31,18.0
14,it,La radiodatazione al C14,"Il 21 aprile 1988 vennero prelevati dalla Sìndone dei campioni di tessuto per essere sottoposti alla datazione con il metodo del radiocarbonio presso i laboratori di Oxford, Zurigo e Tucson.",153,30,1,48.0,174.55,25.33
15,it,Elaborazione delle immagini,Sono rappresentati gli  studi dell’immagine della Sìndone con l’ausilio del computer.,71,11,1,51.73,193.35,18.95
16,it,Lo studio delle varie tracce presenti sulla Sìndone,"In questa vetrina è illustrato lo studio delle varie tracce presenti sulla Sìndone.
 Alcuni segni sono dovuti a bruciature, cera e acqua.
Altre tracce derivano dal contatto del lenzuolo con il corpo, come sangue, siero e cellule epiteliali.
Sono inoltre analizzate le sostanze conservative utilizzate, tra cui aloe e mirra.
Infine, viene esaminata la polvere che si è depositata sul tessuto nel corso dei secoli.",337,65,5,60.23,191.59,18.12
17,it,Ricostruzione di un telaio dell'epoca,Ricostruzione di un telaio dell'epoca.,32,5,1,85.0,199.18,26.0
18,it,Ricostruzione del Sepolcro,"Ricostruzione in scala di un sepolcro giudaico del I secolo, che ha per sfondo una pianta della basilica del Santo Sepolcro di Gerusalemme in epoca crociata.",130,26,1,50.54,178.68,19.63
19,it,Beato Sebastiano Valfrè,Beato Sebastiano Valfrè.,21,3,1,119.0,201.27,1.2
20,it,San Francesco di Sales,San Francesco di Sales.,19,4,1,116.5,200.86,1.6
21,it,Papa Pio VII,Papa Pio Ottavo.,13,3,1,145.67,201.7,1.2
22,it,Le stoffe,"In questa vetrina può vedere alcuni frammenti delle stoffe che nel tempo hanno protetto la Sìndone all’interno della cassetta in cui era conservata, distribuiti come reliquia “da contatto” e corredati da autentica che ne testimonia l’effettivo contatto con la Sìndone.
Anche alcuni oggetti venuti in contatto con il Lenzuolo, come uno degli spilli serviti per fermare la Sìndone durante l’ostensione del 1868 qui esposto, venivano conservati religiosamente e tramandati.",388,69,2,41.46,169.99,30.03
23,it,La riproduzione 1:1,Copia su tela in formato uno ad uno della Sìndone: sono apprezzabili i particolari in modo molto prossimo all’osservazione diretta.,109,20,1,49.5,184.47,20.0
24,it,Il viaggio della Sìndone,"Nella ricostruzione della storia della Sìndone, risultano per il momento ipotetici i passaggi da Gerusalemme a Edessa, oggi Sanliurfa in Turchia, e di qui a Costantinopoli e ad Atene in Grecia durante il periodo dell’Impero latino d’Oriente. 
Mentre sono documentati con precisione quelli da Lirey, in  Francia, a Chambéry, in Savoia, e a Torino.
Nelle vetrine seguenti potrà seguire lo sviluppo di questi percorsi.",338,64,3,50.25,183.22,19.16
25,it,I reliquiari del '700,"Due reliquiari settecenteschi contenenti un piccolo filo di Sìndone insieme ad altri contenenti stoffe venute a contatto con il sacro Telo.
Nel 1506 il papa Giulio II concesse il culto pubblico della Sìndone, fissandone la memoria il 4 maggio e approvandone la messa e l’ufficio il cui testo in edizione seicentesca è esposto in questa vetrina.",280,56,2,49.71,176.64,23.34
26,it,Sainte-Chapell di Chambéry,"Nel 1453 l’ultima discendente di Geoffroy de Charny, Marguerite, cede la Sìndone ai Savoia.",70,14,1,60.43,190.65,11.31
27,it,Il Mandylion e la Sìndone,"Relativamente al periodo più antico della storia della Sìndone, un’ipotesi che ancora oggi si sta studiando, identifica la Sìndone di Torino con il Mandylion di Edessa, un piccolo telo conosciuto sin dal IV secolo in Oriente contenente l’immagine, ritenuta impressa miracolosamente, del volto di Cristo.",251,45,1,39.89,159.48,31.33
