Id,Lang,Sentence_Text,Letters,Words,Num_Sentences,gulpease,flesch,gunning_fog
61,it,"Nella teca di vetro può osservare la preziosa cassa di legno, rivestita con lamina d’argento e tempestata di pietre dure e smalti, in cui è stata conservata, arrotolata, la Sìndone dalla fine del XVI secolo sino al 1998.",173,38,1,51.37,179.8,25.73
62,it,Il coperchio è in legno ricoperto di tessuto.,37,8,1,80.25,199.3,18.2
63,it,"Si tratta di preziosa opera di committenza sabauda, che nel tempo ha subito alcune integrazioni e modifiche che tuttavia non hanno alterato la sua impostazione originale.",143,26,1,45.54,187.37,27.32
64,it,"Sotto alla teca sono esposti gli accessori che servivano alla conservazione della Sìndone all’interno della cassetta, eliminati al momento in cui si è adottato il nuovo sistema di conservazione.",163,29,1,43.14,185.39,26.77
65,it,Sono visibili il rullo in legno rivestito di seta su cui veniva arrotolato il lenzuolo e cuscinetti che venivano inseriti tra il rullo e il tessuto.,122,26,1,53.62,187.48,24.25
66,it,Dal 900 a oggi sono state celebrate sette ostensioni solenni.,48,10,1,71.0,197.93,16.0
67,it,"La prima avvenne nel 1931, in occasione del matrimonio del futuro re Umberto II.",61,14,1,66.86,195.45,19.89
68,it,Nel 1933 ne seguì un'altra per celebrare l’Anno Santo della Redenzione.,54,11,1,67.18,197.35,11.67
69,it,Nel 1973 si tenne invece un’ostensione televisiva.,38,7,1,77.57,199.63,19.94
70,it,Nel 1978 l'evento ricordò il quattrocentesimo anniversario dell’arrivo della Sìndone a Torino.,76,12,1,50.67,196.14,28.13
71,it,L'ostensione del 1998 commemorò alcune ricorrenze della storia religiosa piemontese e il centenario della prima fotografia del Telo.,109,18,1,45.11,192.38,24.98
72,it,"Nel 2000 si celebrò il grande Giubileo e, infine, l'elenco si chiude con l'ostensione del 2010.",67,16,1,65.88,194.24,18.9
73,it,Si può vedere come la Sìndone è conservata distesa in una grande teca ad atmosfera.,68,15,1,63.67,194.75,19.33
74,it,La statua è stata realizzata nel 1998 dallo scultore Luigi Mattei.,51,11,1,69.91,197.42,11.67
75,it,In questa nicchia è esposta la macchina fotografica che appartenne all’avvocato astigiano Secondo Pia con la quale scattò il 25 e il 28 maggio 1998 le prime fotografie della Sìndone.,143,30,1,51.33,185.0,22.67
76,it,Si tratta di un apparecchio appositamente costruito per il Pia da un artigiano torinese al fine di eseguire fotografie di grande formato.,115,22,1,50.36,190.06,23.35
77,it,"Fotografia dell'altare della Sìndone in Duomo durante l'ostensione del 1998, fotografia effettuata da Secondo Pia.",92,15,1,47.67,194.35,27.33
78,it,Ingrandimento del volto in negativo fotografico.,42,6,1,69.0,199.85,22.4
79,it,In questa nicchia sono esposte alcune realizzazioni di artisti ispirate al volto dell’Uomo della Sìndone.,89,15,1,49.67,194.5,22.0
80,it,Si tratta di opere prodotte a partire dal 1931 sino ai giorni nostri.,52,13,1,72.08,196.28,11.35
81,it,"Al centro la suggestiva opera “Resurrezione” del giovane artista contemporaneo polacco Bartosz Keska di Zakopane, che coglie il momento del ritorno alla vita di Cristo, espresso dalla sagoma fortemente luminosa che si anima al di sotto del telo sindonico.",212,39,1,42.33,178.98,28.93
82,it,"La pubblicazione dei risultati della fotografie del Pia provocò un rinnovato interesse nei confronti della Sìndone, ma anche molte polemiche.",120,20,1,44.0,191.16,26.0
83,it,La Sìndone presenta due tipi di impronte: ematiche e corpòree.,51,10,1,68.0,197.93,24.0
84,it,"Riproduzione di un casco di rami spinosi, che rimane l'ipotesi più accreditata della corona di Spine del racconto.",94,18,1,53.44,192.59,22.76
