Id,Sentence_Text,Letters,Words,Num_Sentences,Gulpease index
17,"A fianco sono esposti tre chiodi settecenteschi ricostruiti a imitazione di quelli che in epoca romana venivano usati per le crocifissioni, forgiati includendo probabilmente alcuni frammenti di chiodi ritenuti originali, come dimostrano i sigilli pendenti.",219,35,1,35.0
18,Operazioni di conservazione anni 2000.,29,5,1,91.0
19,"Il 21 aprile 1988 vennero prelevati dalla Sìndone dei campioni di tessuto per essere sottoposti alla datazione con il metodo del radiocarbonio presso i laboratori di Oxford, Zurigo e Tucson.",153,30,1,48.0
20,Sono rappresentati gli  studi dell’immagine della Sìndone con l’ausilio del computer.,71,11,1,51.72727272727273
21,In questa vetrina è illustrato lo studio delle varie tracce presenti sulla Sìndone.,70,13,1,58.230769230769226
22," Alcuni segni sono dovuti a bruciature, cera e acqua.",42,9,1,75.66666666666667
23,"Altre tracce derivano dal contatto del lenzuolo con il corpo, come sangue, siero e cellule epiteliali.",84,16,1,55.25
24,"Sono inoltre analizzate le sostanze conservative utilizzate, tra cui aloe e mirra.",69,12,1,56.5
25,"Infine, viene esaminata la polvere che si è depositata sul tessuto nel corso dei secoli.",72,15,1,61.0
26,Ricostruzione di un telaio dell'epoca.,32,5,1,85.0
27,"Ricostruzione in scala di un sepolcro giudaico del I secolo, che ha per sfondo una pianta della basilica del Santo Sepolcro di Gerusalemme in epoca crociata.",130,26,1,50.53846153846154
28,Beato Sebastiano Valfrè.,21,3,1,119.0
29,San Francesco di Sales.,19,4,1,116.5
30,Papa Pio Ottavo.,13,3,1,145.66666666666666
31,"In questa vetrina può vedere alcuni frammenti delle stoffe che nel tempo hanno protetto la Sìndone all’interno della cassetta in cui era conservata, distribuiti come reliquia “da contatto” e corredati da autentica che ne testimonia l’effettivo contatto con la Sìndone.",223,40,1,40.75
32,"Anche alcuni oggetti venuti in contatto con il Lenzuolo, come uno degli spilli serviti per fermare la Sìndone durante l’ostensione del 1868 qui esposto, venivano conservati religiosamente e tramandati.",165,29,1,42.44827586206897
33,Copia su tela in formato uno ad uno della Sìndone: sono apprezzabili i particolari in modo molto prossimo all’osservazione diretta.,109,20,1,49.5
34,"Nella ricostruzione della storia della Sìndone, risultano per il momento ipotetici i passaggi da Gerusalemme a Edessa, oggi Sanliurfa in Turchia, e di qui a Costantinopoli e ad Atene in Grecia durante il periodo dell’Impero latino d’Oriente. ",199,37,1,43.32432432432432
35,"Mentre sono documentati con precisione quelli da Lirey, in  Francia, a Chambéry, in Savoia, e a Torino.",81,17,1,59.0
36,Nelle vetrine seguenti potrà seguire lo sviluppo di questi percorsi.,58,10,1,61.0
37,Due reliquiari settecenteschi contenenti un piccolo filo di Sìndone insieme ad altri contenenti stoffe venute a contatto con il sacro Telo.,118,21,1,47.095238095238095
38,"Nel 1506 il papa Giulio II concesse il culto pubblico della Sìndone, fissandone la memoria il 4 maggio e approvandone la messa e l’ufficio il cui testo in edizione seicentesca è esposto in questa vetrina.",162,35,1,51.285714285714285
39,"Nel 1453 l’ultima discendente di Geoffroy de Charny, Marguerite, cede la Sìndone ai Savoia.",70,14,1,60.42857142857143
40,"Relativamente al periodo più antico della storia della Sìndone, un’ipotesi che ancora oggi si sta studiando, identifica la Sìndone di Torino con il Mandylion di Edessa, un piccolo telo conosciuto sin dal IV secolo in Oriente contenente l’immagine, ritenuta impressa miracolosamente, del volto di Cristo.",251,45,1,39.888888888888886
41,Uno dei problemi storici su cui si incentra la ricerca riguarda le possibili vicende della Sìndone nel primo millennio.,100,19,1,52.1578947368421
42,"Se la Sìndone può essere identificata con il Mandylion di Edessa, allora essa sarebbe stata trasferita a Costantinopoli nel 944, e di qui, attraverso strade non chiarite, sarebbe giunta in Europa.",158,31,1,47.70967741935484
43,In questa vetrina sono esposti alcuni oggetti e documenti che potrebbero sostenere questa tesi.,81,14,1,52.57142857142857
