Id,Lang,Title,Sentence_Text,Letters,Words,Num_Sentences,gulpease,flesch,gunning_fog
38,it,La cassetta dove era riposta la Sìndone,"Nella teca di vetro può osservare la preziosa cassa di legno, rivestita con lamina d’argento e tempestata di pietre dure e smalti, in cui è stata conservata, arrotolata, la Sìndone dalla fine del XVI secolo sino al 1998.
Il coperchio è in legno ricoperto di tessuto.
Si tratta di preziosa opera di committenza sabauda, che nel tempo ha subito alcune integrazioni e modifiche che tuttavia non hanno alterato la sua impostazione originale.
Sotto alla teca sono esposti gli accessori che servivano alla conservazione della Sìndone all’interno della cassetta, eliminati al momento in cui si è adottato il nuovo sistema di conservazione.
Sono visibili il rullo in legno rivestito di seta su cui veniva arrotolato il lenzuolo e cuscinetti che venivano inseriti tra il rullo e il tessuto.",638,127,5,50.57,179.19,24.02
39,it,Le ostensioni del 900,"Dal 900 a oggi sono state celebrate sette ostensioni solenni.
La prima avvenne nel 1931, in occasione del matrimonio del futuro re Umberto II.
Nel 1933 ne seguì un'altra per celebrare l’Anno Santo della Redenzione.
Nel 1973 si tenne invece un’ostensione televisiva.
Nel 1978 l'evento ricordò il quattrocentesimo anniversario dell’arrivo della Sìndone a Torino.
L'ostensione del 1998 commemorò alcune ricorrenze della storia religiosa piemontese e il centenario della prima fotografia del Telo.
Nel 2000 si celebrò il grande Giubileo e, infine, l'elenco si chiude con l'ostensione del 2010.",453,88,7,61.39,191.99,20.03
40,it,La nuova teca di conservazione,Si può vedere come la Sìndone è conservata distesa in una grande teca ad atmosfera.,68,15,1,63.67,189.7,19.33
41,it,Il corpo dell'uomo della Sìndone,La statua è stata realizzata nel 1998 dallo scultore Luigi Mattei.,51,11,1,69.91,193.76,11.67
42,it,Macchina fotografica di Secondo Pia,"In questa nicchia è esposta la macchina fotografica che appartenne all’avvocato astigiano Secondo Pia con la quale scattò il 25 e il 28 maggio 1998 le prime fotografie della Sìndone.
Si tratta di un apparecchio appositamente costruito per il Pia da un artigiano torinese al fine di eseguire fotografie di grande formato.",258,52,2,50.92,178.65,22.71
43,it,L'altare della Sìndone,"Fotografia dell'altare della Sìndone in Duomo durante l'ostensione del 1998, fotografia effettuata da Secondo Pia.",92,15,1,47.67,189.35,27.33
44,it,Negativo Fotografico del volto,Ingrandimento del volto in negativo fotografico.,42,6,1,69.0,198.05,22.4
45,it,Realizzazioni artistiche,"In questa nicchia sono esposte alcune realizzazioni di artisti ispirate al volto dell’Uomo della Sìndone.
Si tratta di opere prodotte a partire dal 1931 sino ai giorni nostri.
Al centro la suggestiva opera “Resurrezione” del giovane artista contemporaneo polacco Bartosz Keska di Zakopane, che coglie il momento del ritorno alla vita di Cristo, espresso dalla sagoma fortemente luminosa che si anima al di sotto del telo sindonico.",353,67,3,49.75,182.27,21.47
46,it,L'inizio della ricerca scientifica sulla Sìndone,"La pubblicazione dei risultati della fotografie del Pia provocò un rinnovato interesse nei confronti della Sìndone, ma anche molte polemiche.",120,20,1,44.0,184.41,26.0
47,it,La formazione delle impronte,La Sìndone presenta due tipi di impronte: ematiche e corpòree.,51,10,1,68.0,194.63,24.0
48,it,Casco di rami spinosi,"Riproduzione di un casco di rami spinosi, che rimane l'ipotesi più accreditata della corona di Spine del racconto.",94,18,1,53.44,186.52,22.76
49,it,Particolare del volto,"Si può riconoscere la frattura del naso e un ematoma allo zigomo destro.
Sulla fronte sono evidenti delle colature di sangue provocate da un casco di rami spinosi, come quello esposto a fianco.",158,33,2,59.3,188.18,16.3
50,it,Oggetti relativi alla fotografia della Sìndone eseguita da Secondo Pia,"Secondo Pia, nato nel 1855 e morto nel 1941, fu uno dei più grandi fotografi dell’800.",56,16,1,72.75,188.98,11.4
51,it,"Conservazione della Sìndone, giugno/luglio 2002",In questa vetrina sono documentate le operazioni per la conservazione della Sìndone compiute nel giugno-luglio 2002.,95,16,1,48.38,188.38,23.9
52,it,Particolare delle mani,"Sul polso sinistro è visibile una colatura di sangue fuoriuscito da una ferita provocata dalla penetrazione di un chiodo.
A fianco sono esposti tre chiodi settecenteschi ricostruiti a imitazione di quelli che in epoca romana venivano usati per le crocifissioni, forgiati includendo probabilmente alcuni frammenti di chiodi ritenuti originali, come dimostrano i sigilli pendenti.",321,54,2,40.67,177.41,27.84
53,it,Operazioni di conservazione anni 2000,Operazioni di conservazione anni 2000.,29,5,1,91.0,199.31,18.0
54,it,La radiodatazione al C14,"Il 21 aprile 1988 vennero prelevati dalla Sìndone dei campioni di tessuto per essere sottoposti alla datazione con il metodo del radiocarbonio presso i laboratori di Oxford, Zurigo e Tucson.",153,30,1,48.0,174.53,29.33
55,it,Elaborazione delle immagini,Sono rappresentati gli  studi dell’immagine della Sìndone con l’ausilio del computer.,71,11,1,51.73,193.35,22.58
56,it,Lo studio delle varie tracce presenti sulla Sìndone,"In questa vetrina è illustrato lo studio delle varie tracce presenti sulla Sìndone.
 Alcuni segni sono dovuti a bruciature, cera e acqua.
Altre tracce derivano dal contatto del lenzuolo con il corpo, come sangue, siero e cellule epiteliali.
Sono inoltre analizzate le sostanze conservative utilizzate, tra cui aloe e mirra.
Infine, viene esaminata la polvere che si è depositata sul tessuto nel corso dei secoli.",337,65,5,60.23,191.59,18.74
57,it,Ricostruzione di un telaio dell'epoca,Ricostruzione di un telaio dell'epoca.,32,5,1,85.0,199.18,26.0
58,it,Ricostruzione del Sepolcro,"Ricostruzione in scala di un sepolcro giudaico del I secolo, che ha per sfondo una pianta della basilica del Santo Sepolcro di Gerusalemme in epoca crociata.",130,26,1,50.54,178.68,22.71
59,it,Beato Sebastiano Valfrè,Beato Sebastiano Valfrè.,21,3,1,119.0,201.27,14.53
60,it,San Francesco di Sales,San Francesco di Sales.,19,4,1,116.5,200.86,11.6
61,it,Papa Pio VII,Papa Pio Ottavo.,13,3,1,145.67,201.7,14.53
62,it,Le stoffe,"In questa vetrina può vedere alcuni frammenti delle stoffe che nel tempo hanno protetto la Sìndone all’interno della cassetta in cui era conservata, distribuiti come reliquia “da contatto” e corredati da autentica che ne testimonia l’effettivo contatto con la Sìndone.
Anche alcuni oggetti venuti in contatto con il Lenzuolo, come uno degli spilli serviti per fermare la Sìndone durante l’ostensione del 1868 qui esposto, venivano conservati religiosamente e tramandati.",388,69,2,41.46,169.99,32.35
63,it,La riproduzione 1:1,Copia su tela in formato uno ad uno della Sìndone: sono apprezzabili i particolari in modo molto prossimo all’osservazione diretta.,109,20,1,49.5,184.47,22.0
64,it,Il viaggio della Sìndone,"Nella ricostruzione della storia della Sìndone, risultano per il momento ipotetici i passaggi da Gerusalemme a Edessa, oggi Sanliurfa in Turchia, e di qui a Costantinopoli e ad Atene in Grecia durante il periodo dell’Impero latino d’Oriente. 
Mentre sono documentati con precisione quelli da Lirey, in  Francia, a Chambéry, in Savoia, e a Torino.
Nelle vetrine seguenti potrà seguire lo sviluppo di questi percorsi.",338,64,3,50.25,183.22,23.53
65,it,I reliquiari del '700,"Due reliquiari settecenteschi contenenti un piccolo filo di Sìndone insieme ad altri contenenti stoffe venute a contatto con il sacro Telo.
Nel 1506 il papa Giulio II concesse il culto pubblico della Sìndone, fissandone la memoria il 4 maggio e approvandone la messa e l’ufficio il cui testo in edizione seicentesca è esposto in questa vetrina.",280,56,2,49.71,176.64,24.77
66,it,Sainte-Chapell di Chambéry,"Nel 1453 l’ultima discendente di Geoffroy de Charny, Marguerite, cede la Sìndone ai Savoia.",70,14,1,60.43,190.65,19.89
67,it,Il Mandylion e la Sìndone,"Relativamente al periodo più antico della storia della Sìndone, un’ipotesi che ancora oggi si sta studiando, identifica la Sìndone di Torino con il Mandylion di Edessa, un piccolo telo conosciuto sin dal IV secolo in Oriente contenente l’immagine, ritenuta impressa miracolosamente, del volto di Cristo.",251,45,1,39.89,159.48,34.89
